time,date,download,upload,server-id,server-location,server-lat,server-lon,server-distance-mi
19:57,20210402,93.54,93.88,30471,"Washington, DC",-77.0164,38.8904,1.202
19:58,20210402,89.86,94.56,30471,"Washington, DC",-77.0320,38.8904,0.576
